"title","authors","issue","abstract"
"市场化与人际信任变迁","辛自强()","2019 Vol. 27 Issue (12)  1951-1966<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01951","在中国的市场化进程中, 我们正在面对一个确定的事实：人际信任逐年衰落。虽然已有研究一致证明信任可以促进经济发展, 然而, 很少有文献阐明市场经济发展对信任的影响。整合近年来各种新获得的宏观和微观证据可以发现, 市场化对信任存在抑制作用。具体来说, 我国的市场化进程中, 市场的动力属性充分彰显, 鼓励人们逐利和竞争, 激活了人们的创富热情, 但也造成经济人信念的流行, 破坏了信任者对人性的乐观预期; 然而, 相应的市场规则和社会规则发育不足, 无法充分保护信任者。最终, 市场化在消蚀经济赖以发展的基础——信任, 致使信任下滑。因此, 建立基于规则的、诚信的市场经济是阻遏信任衰落乃至重建信任的必要路径。"
"非安全依恋可塑性的神经机制","马原啸,陈旭()","2019 Vol. 27 Issue (12)  1967-1979<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01967","非安全依恋可塑性是借助认知启动技术(例如安全依恋启动)使非安全依恋个体长期处于敏感和支持性的环境中, 从而唤醒个体积极的依恋经历, 使其对依恋关系形成新的认知图式, 最终实现非安全依恋个体内部工作模型的重构。本项目针对非安全依恋个体的认知加工缺陷, 采用安全依恋启动的方法探索非安全依恋可塑性的发生机制及相应的神经生理基础。项目拟从单次安全依恋启动对非安全依恋个体认知加工缺陷的改善效应、多任务条件下对重复安全启动效应的检验以及重复安全依恋启动效应的追踪研究三方面开展非安全依恋可塑性研究; 研究手段采用行为-生理-脑成像的技术, 从安全依恋启动的性质、方式和时间三个维度上系统地探究非安全依恋可塑性的发生机制与神经基础。非安全依恋可塑性研究为安全依恋研究提供了新视角, 研究提出的依恋图式重构理论是对安全基地图式理论的印证与发展, 对重复安全启动效应的检验及追踪研究试图为非安全依恋可塑性研究构建一套科学有效的评估标准。研究成果对于非安全依恋人群的干预训练、提升依恋安全感、维护心理健康具有重要价值。"
"管理者征求建言的内在机制","周浩(),盛欣怡","2019 Vol. 27 Issue (12)  1980-1987<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01980","在中国高权力距离文化背景下, 员工对于建言大多抱有观望的心态, 管理者向下属征求建言可能是破解员工建言难题的关键所在。在回顾相关研究的基础上, 基于沟通要素模型, 提出管理者征求建言在形式与内容上存在差异。基于计划行为理论, 进一步提出, 管理者的权力距离、变革氛围感知、管理者自我效能通过征求建言意向的中介作用影响征求建言, 而变革氛围感知、管理者自我效能的调节作用会影响管理者征求建言的形式与内容。对管理者征求建言的分析, 从关注员工开口说转变为关注管理者开口问, 为探讨中国文化背景下的建言行为提供了新的视角。"
"神经科学偏见效应：可重复性及其心理机制的探索","殷继兴1,胡传鹏2,3()","2019 Vol. 27 Issue (12)  1988-1995<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01988","神经科学的发展对其他学科以及社会产生了重要的影响。虽然神经科学方法与行为研究方法都是探索人类心理与行为的有效手段并各有所长, 但神经科学的研究结果却可能引起人们过度的解读和信任。研究者发现, 当某一结论使用神经科学结果作为证据时, 比使用行为科学结果或者心理生理学指标作为证据时更加让人信服, 即使神经科学结果与该结论之间毫无关系, 这种现象被称为神经科学偏见(neuroscience bias)。通过系统回顾近年来关于神经科学偏见的研究, 我们发现：(1)虽然神经科学偏见存在可重复性的争论, 但该效应确实存在; (2)神经科学偏见的产生可能是因为个体倾向于还原论的解释(即使用低层次、简单的机制来解释更高层次上的现象)及心理本质主义的影响(即人们认为心理与行为的本质是神经活动)。神经科学偏见反映了公众对科学结果解读的偏见, 未来研究需要探讨这种偏见的心理机制, 从而引导科学结果的正确解读和运用。"
"听觉预测编码：对声音重复和变化的神经反应","吕雪靖(),侯欣","2019 Vol. 27 Issue (12)  1996-2006<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.01996","预测编码被认为是脑与复杂环境交互的重要机制之一, 有效感知外界环境并对未来事件做出预测, 对个体生存有着至关重要的意义。人类大脑会基于感觉输入以迭代的方式持续优化表征外部环境的内部模型, 并不断预测接下来的感觉输入。以听觉模态为例, 人类及动物对声音重复和听觉变化的神经反应(如失匹配负波和刺激特异性适应)是大脑预测编码的重要体现, 表现为重复抑制和预测误差。结合人类和动物模型在此理论框架下开展跨物种研究将有助于加深我们对听觉加工, 甚至是大脑工作机制的认识。"
"多目标追踪的神经机制","魏柳青1,2,张学民2,3()","2019 Vol. 27 Issue (12)  2007-2018<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02007","多目标追踪任务是研究动态场景中视觉注意加工机制常用的范式。自1998年开始对多目标追踪神经机制的影像学研究以来, 研究者采用ERP和fMRI等技术对多目标注意追踪所涉及的神经电生理活动和脑功能区激活方面开展了大量研究。ERP研究发现, 追踪过程持续的ERP脑电成分如N2pc、CDA的波幅与注意追踪负荷有关, 并且出现在目标与非目标上的探测刺激诱发的脑电成分如N1、P1波幅的差异可反映注意资源的分配, 具体为目标在追踪过程中得到了激活, 而非目标受到了抑制。fMRI研究比较一致地发现了顶叶(包括前顶内沟、后顶内沟、顶上小叶)、背外侧额叶皮层等在注意追踪中的强烈激活。其中顶内沟主要与注意负荷有关, 顶内沟的活动水平直接决定了观察者注意追踪的行为表现。而顶上小叶可能更多的负责注意转移。背外侧额叶皮层可能负责追踪时的感觉运动预测过程。"
"空间导航的测量及其在认知老化中的应用","张家鑫,海拉干,李会杰()","2019 Vol. 27 Issue (12)  2019-2033<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02019","空间导航是日常生活所必需的高级认知功能, 参与空间导航的海马及内嗅皮层等脑区易受到老化的影响并导致结构萎缩或功能紊乱。早期研究多利用动物实验、纸笔测验、现实环境等实验范式考察老年人的空间导航老化特点。由于具有与现实环境相似的场景、兼容磁共振成像扫描以及导航者可以与场景交互等优点, 虚拟现实技术被越来越多地被应用到空间导航的老化研究中, 并进一步揭示了海马等内侧颞叶脑区在空间导航老化中的重要作用。"
"记忆的顿悟优势效应","赖燕群1,杨琪2(),黄宝珍3,赛李阳4","2019 Vol. 27 Issue (12)  2034-2042<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02034","记忆的顿悟优势效应指, 与加工非顿悟问题相比, 加工顿悟问题能够产生更优的记忆保持量。该效应在顿悟的两种操作性定义以及不同实验材料中稳定出现。基于顿悟阶段观, 研究者提出两种理论解释记忆的顿悟优势效应的认知机制：认知的生成效应和表征转化理论认为, 顿悟加工过程中的认知努力、适当迁移加工以及顿悟的表征转换加工促进记忆的保持效果; 情绪的“啊哈”体验理论认为, 加工顿悟问题后的情绪对后续的信息提取具有促进作用。未来的研究可从优化顿悟的指标、巩固记忆的顿悟优势效应、评估其持续性以及更加系统探讨记忆的顿悟优势效应的认知机制等四个方面展开。"
"语言和音乐层级结构的加工","张晶晶1(),杨玉芳2()","2019 Vol. 27 Issue (12)  2043-2051<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02043","语言和音乐在呈现过程中, 小单元相互结合组成更大的单元, 最终形成层级结构。已有研究表明, 听者能够将连续的语流和音乐切分成层级结构, 并在大脑中形成层级表征。在感知基础之上, 听者还能将新出现的语言和音乐事件整合到层级结构之中, 形成连贯理解, 最终顺利地完成交流过程。未来研究应剖析边界线索在层级结构感知中的作用, 考察不同层级整合过程的影响因素, 进一步探索语言和音乐层级结构加工的关系。"
"认知还是元认知：口语产生中舌尖效应的心理机制","欧阳明昆,蔡笑,张清芳()","2019 Vol. 27 Issue (12)  2052-2063<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2019.02052","舌尖效应(Tip-of-the-tongue, TOT)在口语产生领域存在认知和元认知两种研究视角。认知视角主要针对口语产生的词汇通达过程, 认为信息激活或提取不充分是TOT发生的主要原因。元认知视角则主要关注口语产生的元认知过程, 认为个体对目标词提取状态的监测引发了TOT。TOT的元认知过程不仅可以监测目标词的提取状态及词汇通达过程中相关信息的提取, 而且可以控制词汇通达过程, 使目标词在TOT发生后成功地提取出来。两种研究视角在TOT发生的认知机制、影响因素以及生理基础方面均存在分离。未来研究应该探讨TOT监测和控制口语产生的作用机制和生理基础, 关注汉语背景下TOT发生规律及其对口语产生年老化的积极影响。"
