"title","authors","issue","abstract","year","vol","no","start_page","end_page","pages"
"社会冲突与阶级意识——当代中国社会矛盾研究[J].","李培林.","社会杂志,2005,25(1):7-27.","李培林. 社会冲突与阶级意识——当代中国社会矛盾研究[J]. 社会杂志, 2005, 25(1): 7-27.	",2005,25,1,7,27,21
"关于中产阶级的理论与现状[J].","李　强.","社会杂志,2005,25(1):28-42.","李　强. 关于中产阶级的理论与现状[J]. 社会杂志, 2005, 25(1): 28-42.	",2005,25,1,28,42,15
"市场转型理论与社会整合[J].","周　怡.","社会杂志,2005,25(1):43-66.","周　怡. 市场转型理论与社会整合[J]. 社会杂志, 2005, 25(1): 43-66.	",2005,25,1,43,66,24
"协调博弈的摆动均衡：企业核心层关系的一个分析[J].","李　璐.","社会杂志,2005,25(1):67-98.","李　璐. 协调博弈的摆动均衡：企业核心层关系的一个分析[J]. 社会杂志, 2005, 25(1): 67-98.	",2005,25,1,67,98,32
"公共物品的生产与社区整合机制[J].","赵凌云.","社会杂志,2005,25(1):99-118.","赵凌云. 公共物品的生产与社区整合机制[J]. 社会杂志, 2005, 25(1): 99-118.	",2005,25,1,99,118,20
"中国城市社区选举的想象：从功能阐释到过程分析[J].","刘春荣.","社会杂志,2005,25(1):119-143.","刘春荣. 中国城市社区选举的想象：从功能阐释到过程分析[J]. 社会杂志, 2005, 25(1): 119-143.	",2005,25,1,119,143,25
"物业运作：从国家中分离出来的新公共空间——国家权力过度化与社会权利不足之间的张力[J].","张　磊　刘丽敏.","社会杂志,2005,25(1):144-163.","张　磊　刘丽敏. 物业运作：从国家中分离出来的新公共空间——国家权力过度化与社会权利不足之间的张力[J]. 社会杂志, 2005, 25(1): 144-163.	",2005,25,1,144,163,20
"国家、区域政治与地方性：——以华北B镇“苯中毒”事件为例的多点民族志实验[J].","童根兴.","社会杂志,2005,25(1):164-181.","童根兴. 国家、区域政治与地方性：——以华北B镇“苯中毒”事件为例的多点民族志实验[J]. 社会杂志, 2005, 25(1): 164-181.	",2005,25,1,164,181,18
"20世纪50年代的妇女解放和男女义务平等：中国城市夫妻的经历与感受[J].","左际平.","社会杂志,2005,25(1):182-209.","左际平. 20世纪50年代的妇女解放和男女义务平等：中国城市夫妻的经历与感受[J]. 社会杂志, 2005, 25(1): 182-209.	",2005,25,1,182,209,28
"从“理性ｖｓ非（反）理性”到“反思ｖｓ自反”——社会理论中现代性诊断范式的流变[J].","肖　瑛.","社会杂志,2005,25(2):1-24.","肖　瑛. 从“理性ｖｓ非（反）理性”到“反思ｖｓ自反”——社会理论中现代性诊断范式的流变[J]. 社会杂志, 2005, 25(2): 1-24.	",2005,25,2,1,24,24
