"title","authors","issue","abstract","year","vol","no","start_page","end_page","pages"
"“值”在中国人的假设思维中的角色","张结海;Jean-Fran<U+00E7>ois Bonnefon;邓赐平","2011 Vol. 43 Issue (01)  1-10<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","先前的研究表明, 东西方在假设思维上不存在差异, 或者只是存在于特殊范围内(domain-specific)。本文在中国人的“值”的概念基础上界定一个存在于东西方的假设思维上的新差异。实验1显示了在假设思维概念里, 中国人的“值”是由决策理由的大小和后果的严重程度大小决定的, 同时“值”被证实是中国人假设思维的中介变量。实验2比较了中、法两国被试的假设思维, 结果再次证明了中国被试的假设思维是由“值”概念决定, 相比而言法国被试是由“成本－收益”概念决定的。",2011,43,1,1,10,10
"解释水平视角下的自己-他人决策差异","徐惊蛰;谢晓非","2011 Vol. 43 Issue (01)  11-20<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","研究基于解释水平理论, 考察自己决策和为他人提供建议是否存在认知和偏好上的差异。实验一采用2(自己决策/为他人建议)×2(价值：高/低)×2(可行性：高/低)被试间设计, 165名被试代表自己或他人评价选项的吸引力。实验二采用3×2混合设计, 81名被试代表自己、相似或不相似他人, 为“高价值-低可行”和“低价值-高可行”两选项出价。结果支持了“自己-他人决策差异”：自己决策比为他人提建议在更大程度上受可行性高低的影响, 更为偏爱可行性高的选项; 人际相似性能在一定程度上缩小上述差异。",2011,43,1,11,20,10
"女性择偶决策的线索偏好及信息加工方式","刘永芳;苏丽娜;王怀勇","2011 Vol. 43 Issue (01)  21-29<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","以68名20~33岁之间的未婚女性为被试, 探讨了她们在信息板上做出择偶决策时的线索偏好及信息加工方式。结果显示：(1)候选人的性格、健康状况、责任心是女性择偶时优先考虑的线索; (2)被试在完成信息板任务时间接表现出来的线索偏好不完全等同于主观评估给出的线索偏好; (3)择偶决策是一个有限理性的启发式搜索过程, 且时间紧迫性和候选人数量影响被试对择偶线索的信息加工方式; (4)候选人数量与择偶满意度之间不是简单的线性关系, 增加候选人数量并不一定能够提高决策后的满意度。依据有关的理论和发现对这些结果进行了讨论。",2011,43,1,21,29,9
"不同类型罪犯在爱荷华赌博任务中的决策功能缺陷","罗禹;冯廷勇;唐向东;黄好;李红","2011 Vol. 43 Issue (01)  30-41<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","采用爱荷华赌博任务(Behcara等人1994年版本)测量了8类共222名在监男性罪犯以及32名普通男性的决策功能, 并运用前景效用学习模型分析了不同类型罪犯在情感决策中的心理功能缺陷。罪犯组选择牌1的比例与控制组没有显著差异, 选择牌2的比例显著高于控制组, 选择牌3和牌4的比例显著低于控制组。暴力犯和涉黑犯对收益和损失都不敏感, 对过去的预期效用折扣很快; 吸毒犯(已戒除)、涉毒犯、盗窃犯和抢劫犯对奖赏加工正常, 对惩罚不敏感; 经济犯选择一致性最低; 性罪犯选择一致性最高。结果表明不同类型罪犯在爱荷华赌博任务中都具有决策功能缺陷, 但他们的决策功能缺陷由不同的心理功能缺陷所致。",2011,43,1,30,41,12
"辩证思维降低攻击性倾向","张晓燕;高定国;傅华","2011 Vol. 43 Issue (01)  42-51 <U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","辩证思维是一套根据变化原则、矛盾原理和整体论原理看待世界的思维模式。本研究从思维模式对攻击性影响的角度出发, 采用相关研究及启动范式探讨辩证思维对攻击性的影响。研究一是一个相关研究, 结果显示, 辩证思维与攻击性呈显著负相关。在研究二和研究三中, 操纵了辩证思维。在研究二中, 在启动被试的辩证思维后, 与控制组相比, 他们的攻击性行为倾向显著降低。在研究三中, 对控制组的指导语进行了修改并且增加了启动效应检查程序, 也获得了与研究二类似的结果, 即实验组被试的辩证思维量表得分显著提高, 而攻击性量表得分和攻击性行为倾向显著降低。通过中介效应分析, 也发现启动操作对攻击性的影响是通过增加辩证思维程度实现的。以上系列研究表明, 辩证思维可以降低攻击性行为倾向。",2011,43,1,42,51,10
"惩罚和社会价值取向对公共物品两难中人际信任与合作行为的影响","王沛;陈莉","2011 Vol. 43 Issue (01)  52-64<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","通过两个计算机情境模拟实验, 采用“取消惩罚”范式, 引入社会价值取向变量, 发现惩罚对人际信任和合作行为具有消极影响, 具体表现为当惩罚取消后, 经历过惩罚的被试的人际信任水平显著低于无惩罚条件被试的水平。惩罚对博弈者合作行为的影响在社会价值取向不同的博弈者之间存在显著差异：经历过惩罚的亲社会型被试在惩罚取消阶段的合作程度显著低于惩罚存在阶段的合作程度, 并且显著低于无惩罚条件被试的相应水平。惩罚通过亲社会型博弈者的人际信任水平对合作程度产生间接负效应, 即惩罚程度越强, 亲社会型博弈者的人际信任水平越低, 进而使其合作程度也下降。",2011,43,1,52,64,13
"特质应对与展现规则对情绪劳动的影响","林川;黄敏儿","2011 Vol. 43 Issue (01)  65-73 <U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","采用2×3组间设计, 检测特质应对(积极与消极)与展现规则(积极、消极、无规则)对情绪劳动的影响。结果表明, 积极应对引起更多深层动作; 积极规则下出现较少表层扮演(与消极应对比)。积极和消极规则都引起较多深层和表层动作。积极应对在积极规则下表层扮演较少(与消极规则比); 消极应对在积极规则下表层扮演较多(与消极规则比)。研究提示, 特质情绪性可能是调节展现规则与情绪劳动关系的重要原因。",2011,43,1,65,73,9
"作为社会和文化情境的同伴圈子对儿童社会能力发展的影响","陈斌斌;李丹;陈欣银;陈峰","2011 Vol. 43 Issue (01)  74-91<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","基于同伴圈子的相似性假设探讨同伴圈子的形成、圈子社会情境对儿童社会能力发展的促进作用, 以及圈子文化背景对圈子社会化过程的调节作用。选取某城乡结合部一小学3至5年级898名儿童作为被试进行一年的跟踪调查, 其中在第一年当地城市儿童占36.5%, 当地农村儿童占48.8%, 流动儿童占10.4%。学生在第一和第二年都完成《班级戏剧》和《社会认知地图》问卷。研究结果表明：(1)在个体层面上, 圈子成员的社交性、亲社会性、自主性以及同伴接纳显著高于孤立者。城市儿童的自主性显著高于农村和流动儿童, 后两者之间则无显著差异。亲社会性在性别和文化背景方面存在显著的交互作用。(2)儿童会依据社会能力的相似性来组成同伴圈子, 且不同圈子之间存在显著差异。儿童也愿意与不同文化背景的同伴交往, 形成不同类型社会文化背景的同伴圈子。(3)儿童的社交性和自主性随着同伴圈子相应能力的提高而呈正向发展趋势。(4)同伴圈子对个体社交性和自主性发展的影响因圈子所注重的社会文化准则的差异而有所不同。农村－城市圈子比农村－流动圈子对儿童社交性发展的影响明显更大些; 农村圈子的儿童自主性水平更趋于随圈子自主性的提高而正向发展。",2011,43,1,74,91,18
"不同学习方式下归类不确定时的特征推理","刘志雅;莫雷","2011 Vol. 43 Issue (01)  92-100<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","采用学习-迁移模式, 探讨了同时学习和继时学习两种方式下归类不确定时的特征推理。共包括2个实验, 其中实验1探讨了固定学习轮次的情况, 实验2探讨了固定学习正确率的情况。实验结果表明：同时呈现类别要素的同时学习方式下, 被试习得序列式的单类别表征(原型表征), 在归类不确定时的特征推理中按照“单类的Bayesian规则”进行特征推理, 即P(j\F) =P(k\F)·P(j\k); 相继呈现类别要素的继时学习方式下, 被试习得并列式的多类别表征, 在归类不确定时的特征推理中按照“理性模型”进行推理, 即 P(j\F) =Σk P(k\F)·P(j\k)。",2011,43,1,92,100,9
"中国近代心理学史上的丁韪良及其《性学举隅》","阎书昌","2011 Vol. 43 Issue (01)  101-110<U+00A0><U+00A0><U+00A0><U+00A0>DOI:                                         ","传教士丁韪良出于借心理学来传播宗教的目的在1898年出版了《性学举隅》, 这是融入了许多西方科学心理学知识的中文心理学著作。中国最早开设心理学课程的登州文会馆的两名毕业生在丁韪良撰写《性学举隅》过程中进行了笔述工作。丁韪良曾为益智书会撰写心理学教材但未完成, 益智书会转而出版了颜永京的《心灵学》(上本)。以丁韪良及其《性学举隅》为纽带, 19世纪后半叶中国近代心理学发展进程中的几个重要事件构成了一副较完整的历史图景, 反映出中国近代心理学的发展与宗教传播有着密切联系。《性学举隅》吸收了当时西方心理学前沿性的生理心理学知识, 向中国引介了催眠术和颅相学知识, 并对中国的“五官说”、“七情说”进行了修正与补充, 同时也借用了汉字的造字法来阐述其部分心理学观点。由于丁韪良向中国传播心理学是其宣传宗教思想的手段之一, 而颜永京译述海文原著的《心灵学》更倾向于向中国传播心理学这一学科, 强调了心理学与众多学科的联系和应用价值, 因此丁韪良在心理学术语创制上的历史功绩要逊于颜永京。颜永京于1882年将psychology翻译为“心才学”, 这是目前发现心理学学科的最早汉语翻译名称。",2011,43,1,101,110,10
